name,age,street,city,state,zip,dollar,pick,date
Alvin Hamilton,28,Zoza Court,Toolefu,MO,21745,$6926.51,GREEN,11/13/1907
Lester Gibbs,41,Ufiguc Pike,Fagineka,IL,88573,$3953.28,YELLOW,11/12/1946
Ethan Holloway,41,Dohra Center,Ofoanasu,NM,00376,$6167.00,WHITE,07/14/2068
Melvin Andrews,32,Edohe Drive,Uvzebel,OK,75657,$3985.11,BLUE,06/25/1963
Aiden Colon,19,Gosum Lane,Keuwti,MN,80780,$6084.49,BLUE,11/01/2017
Joe Padilla,48,Ohrab Mill,Wazguzuf,WY,88044,$6536.40,BLUE,09/23/2065
Henrietta Hayes,53,Acaim Place,Luzogil,SC,61846,$7116.25,WHITE,12/18/2037
Clyde Matthews,35,Icilek Boulevard,Resova,CT,87677,$33.91,GREEN,10/05/2020
Lillie Norton,50,Tukomi Point,Watenuve,NY,25344,$6360.30,RED,06/14/1992
Adam Day,57,Cilah Manor,Lomfuvso,VA,51938,$2248.31,GREEN,05/31/2050
Glenn Yates,35,Izhe Lane,Efkiem,MT,97337,$3038.77,WHITE,11/23/2047
Jason Washington,34,Fuggo Square,Konevij,AZ,41723,$7550.21,BLUE,01/25/2042
Chester Strickland,35,Ekitov View,Dofebdo,DE,57788,$9757.64,WHITE,10/14/2017
Leo Bowman,39,Japoh Ridge,Iplihgec,NJ,28265,$6504.66,RED,11/13/1934
Eugene Morgan,20,Zipu Mill,Bonegdi,HI,88266,$593.33,YELLOW,11/04/1996
Estelle Reese,54,Zowvi Extension,Cinnobik,SD,17806,$8579.73,BLUE,07/08/1978
Antonio Hughes,21,Dizif Place,Jesipjo,AZ,05553,$4551.91,WHITE,06/06/1978
Carlos Robertson,60,Apisi Loop,Letfighev,FL,65155,$4444.39,RED,06/07/1961
Mable Warner,46,Dazi Way,Joodko,MD,70300,$6357.82,RED,02/05/2025
Evelyn Abbott,25,Wimo Extension,Carona,AK,16743,$6096.35,RED,08/21/2060
Jose Franklin,25,Zenli Highway,Guvemnok,MO,04317,$4730.74,GREEN,12/06/1991
Jennie Osborne,57,Seume Square,Cusezzub,NH,78091,$6006.00,WHITE,07/03/1990
Willie James,43,Uzobec Ridge,Rufpouwe,FL,09549,$3305.14,WHITE,04/20/1996
Jeanette Ortega,44,Gujnir View,Jedatge,ME,21569,$1601.79,BLUE,09/28/1965
Mario Carpenter,52,Cetew Mill,Korucja,MI,05351,$1923.86,YELLOW,04/10/2020
Allie Gibbs,40,Focuri Heights,Upkecfed,DE,11279,$8027.15,RED,11/17/1913
Craig Cunningham,31,Hujna Mill,Urnamroj,MT,84568,$4969.30,WHITE,08/24/2039
Cordelia Pearson,25,Jaav Ridge,Ihjeluh,VA,15414,$4548.00,GREEN,01/01/1975
Edna Holt,33,Dodhu Junction,Ficraiz,AL,52539,$5078.20,GREEN,08/07/2051
Maud Sullivan,34,Leem Park,Ukeboluk,IA,51880,$5996.16,WHITE,12/22/2035
Fanny Greer,28,Heju Plaza,Tarcihad,NY,55143,$1579.26,RED,10/07/1960
Alexander Conner,45,Etom Plaza,Lesluzu,VT,15282,$6487.83,BLUE,09/24/2049
Lillie Young,62,Motjug Highway,Tikesdaj,AR,17454,$8136.86,BLUE,02/25/1916
Phillip Sanchez,32,Ceat River,Givikja,MS,24460,$5814.43,RED,09/17/2037
Loretta Jordan,31,Fuuno Pike,Borwopow,GA,40313,$9500.68,RED,10/27/2035
Sara Steele,21,Kuvu Junction,Piwafto,TX,74256,$4096.93,BLUE,04/11/1937
Eleanor Thompson,41,Rarvu Loop,Dezuslar,IN,37618,$2674.70,BLUE,06/18/1993
Carrie Vaughn,26,Parur Square,Vecrukuc,KY,91528,$4183.04,RED,06/16/2045
Ada Hoffman,18,Inuoja Court,Wiawomop,MI,85244,$962.85,RED,07/22/2003
Francisco Barton,57,Gehu Pike,Nogoamu,VT,98138,$7429.15,WHITE,01/27/1974
